0	1307.2	2.323
0.174	1267.2	2.543
0.349	1137.2	2.153
0.523	811	2.153
0.698	451.81	1.265
0.872	162.59	0.818
1.047	11.044	0.631
1.221	45.314	0.683
1.570	0.918	0.616
1.745	41.254	0.778
1.919	151.02	1.271	
2.094	306.54	2.343
2.268	516.23	1.873
2.443	732.20	1.540
2.617	916.24	5.965
2.792	1089.1	2.763
2.967	1197.1	3.963
3.141	1217.1	3.143
3.316	1157.1	2.273
3.490	1037.1	4.843
1.166	878.95	1.773
3.839	761.16	1.843
4.014	488.05	2.293
4.188	293.58	1.793
4.363	134.56	0.795
4.537	34.624	0.672
4.712	1.564	0.618
4.886	49.564	0.679
5.061	165.67	0.952
5.235	348.74	1.140
5.410	562.64	1.635
5.585	797.10	2.773
5.759	982.12	3.823
5.934	1176.2	2.333
6.108	1285.2	2.303
	
